,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2022-10-01,56.52353296106223,-303.80181085770255,-267.90876407451043,56.52353296106223,56.52353296106223,-342.84332671095314,-342.84332671095314,-342.84332671095314,-342.84332671095314,-342.84332671095314,-342.84332671095314,0.0,0.0,0.0,-286.3197937498909
22,2022-11-01,56.711672379049844,-332.9818331556136,-299.14442163694326,56.711672379049844,56.711672379049844,-373.1776803818227,-373.1776803818227,-373.1776803818227,-373.1776803818227,-373.1776803818227,-373.1776803818227,0.0,0.0,0.0,-316.46600800277287
23,2022-12-01,56.89374278351453,-76.23351050541692,-40.490060761091485,56.89374278351453,56.89374278351453,-115.56834597397541,-115.56834597397541,-115.56834597397541,-115.56834597397541,-115.56834597397541,-115.56834597397541,0.0,0.0,0.0,-58.67460319046088
24,2023-01-01,57.0818822014614,1235.047412896582,1270.6976965123522,57.0818822014614,57.0818822014614,1196.1094530258174,1196.1094530258174,1196.1094530258174,1196.1094530258174,1196.1094530258174,1196.1094530258174,0.0,0.0,0.0,1253.1913352272788
25,2023-02-01,57.2700216194505,856.4654994339081,891.6043348938389,57.2700216194505,57.2700216194505,816.6344771879599,816.6344771879599,816.6344771879599,816.6344771879599,816.6344771879599,816.6344771879599,0.0,0.0,0.0,873.9044988074104
26,2023-03-01,57.43995399701139,-649.9814597901344,-614.2517135416812,57.43995399701139,57.43995399701139,-689.7723492724585,-689.7723492724585,-689.7723492724585,-689.7723492724585,-689.7723492724585,-689.7723492724585,0.0,0.0,0.0,-632.3323952754472
27,2023-04-01,57.62809341502524,-206.33887709403308,-170.36502703439783,57.62809341502524,57.62809341502524,-245.1228278291584,-245.1228278291584,-245.1228278291584,-245.1228278291584,-245.1228278291584,-245.1228278291584,0.0,0.0,0.0,-187.49473441413318
28,2023-05-01,57.81016381958415,68.00880738414016,104.99105122233689,57.81016381958415,57.81016381958415,28.234185837605814,28.234185837605814,28.234185837605814,28.234185837605814,28.234185837605814,28.234185837605814,0.0,0.0,0.0,86.04434965718997
29,2023-06-01,57.99830323766761,144.4581841476374,181.21106377782436,57.99830323766761,57.99830323766761,104.4293077397695,104.4293077397695,104.4293077397695,104.4293077397695,104.4293077397695,104.4293077397695,0.0,0.0,0.0,162.4276109774371
30,2023-07-01,58.18037364226451,100.00815443817929,135.96463337850122,58.18037364226451,58.18037364226451,59.72822781329142,59.72822781329142,59.72822781329142,59.72822781329142,59.72822781329142,59.72822781329142,0.0,0.0,0.0,117.90860145555592
